id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the primary function of generative AI?,Generate new content,Analyze data,Classify images,Optimize algorithms,Generate new content,Easy
2,LO1,Remembering,Which type of AI model is commonly used for generating text?,GAN,Transformer,CNN,RNN,Transformer,Easy
3,LO1,Remembering,What does the acronym GAN stand for in generative AI?,Generative Adversarial Network,Generalized AI Node,Global Algorithm Network,Gradient Analysis Node,Generative Adversarial Network,Easy
4,LO1,Remembering,Which company developed the AI model known as DALL-E?,OpenAI,Google,Microsoft,Meta,OpenAI,Easy
5,LO1,Remembering,What type of content can generative AI create?,Text,Images,Audio,All of the above,All of the above,Easy
6,LO1,Remembering,Which AI model is known for generating human-like text responses?,GPT,ResNet,VGG,Inception,GPT,Easy
7,LO1,Remembering,What is a common application of generative AI in art?,Creating digital paintings,Data sorting,Network security,Database management,Creating digital paintings,Easy
8,LO1,Remembering,Which of these is a generative AI tool for music creation?,Amper Music,TensorFlow,Scikit-learn,Pandas,Amper Music,Easy
9,LO1,Remembering,What is the main purpose of the "generator" in a GAN?,Create fake data,Classify data,Optimize code,Reduce noise,Create fake data,Medium
10,LO1,Remembering,Which generative AI model is designed for image generation?,DALL-E,BERT,RoBERTa,T5,DALL-E,Medium
11,LO1,Remembering,What is the role of the "discriminator" in a GAN?,Distinguish real data from fake,Generate new data,Train the dataset,Label the data,Distinguish real data from fake,Medium
12,LO1,Remembering,Which field uses generative AI to create synthetic datasets?,Machine learning,Cybersecurity,Web development,Hardware design,Machine learning,Medium
13,LO1,Remembering,What type of neural network is the foundation for GPT models?,Transformer,CNN,LSTM,MLP,Transformer,Medium
14,LO1,Remembering,Which generative AI tool is known for creating deepfake videos?,DeepFaceLab,PyTorch,NumPy,Keras,DeepFaceLab,Medium
15,LO1,Remembering,What is a key ethical concern with generative AI?,Creating misinformation,Improving accuracy,Reducing costs,Enhancing security,Creating misinformation,Medium
16,LO1,Remembering,Which company developed the generative AI model Stable Diffusion?,Stability AI,Microsoft,Amazon,IBM,Stability AI,Medium
17,LO1,Remembering,What percentage of AI-generated text is often indistinguishable from human text in studies?,Around 90%,Around 50%,Around 30%,Around 10%,Around 90%,Hard
