id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the term for the ability to maintain or preserve resources for future generations?,Sustainability,Conservation,Preservation,Restoration,Sustainability,Easy
2,LO1,Remembering,Which gas is most responsible for the greenhouse effect?,Carbon dioxide,Methane,Ozone,Nitrous oxide,Carbon dioxide,Easy
3,LO1,Remembering,What is the primary source of renewable energy from the sun?,Solar energy,Wind energy,Hydropower,Geothermal energy,Solar energy,Easy
4,LO1,Remembering,What does the acronym IPCC stand for in the context of climate change?,International Panel on Climate Change,Intergovernmental Panel on Climate Change,International Protocol on Carbon Conservation,Intercontinental Program for Climate Control,Intergovernmental Panel on Climate Change,Easy
5,LO1,Remembering,Which resource is considered non-renewable?,Coal,Solar energy,Wind energy,Hydropower,Coal,Easy
6,LO1,Remembering,What is the term for the variety of life on Earth?,Biodiversity,Ecosystem,Habitat,Biome,Biodiversity,Easy
7,LO1,Remembering,Which international agreement aims to limit global warming to below 2°C?,Kyoto Protocol,Paris Agreement,Montreal Protocol,Copenhagen Accord,Paris Agreement,Easy
8,LO1,Remembering,What is the main goal of recycling?,Reduce waste,Increase production,Enhance consumption,Decrease innovation,Reduce waste,Easy
9,LO1,Remembering,What is the primary cause of deforestation?,Urbanization,Agriculture expansion,Renewable energy projects,Water conservation,Agriculture expansion,Medium
10,LO1,Remembering,Which material is most commonly recycled globally?,Paper,Glass,Plastic,Aluminum,Aluminum,Medium
11,LO1,Remembering,What is the term for the process of converting waste into reusable material?,Recycling,Composting,Incineration,Landfilling,Recycling,Medium
12,LO1,Remembering,Which renewable energy source relies on the movement of water?,Hydropower,Solar energy,Wind energy,Biomass,Hydropower,Medium
13,LO1,Remembering,What is the main source of marine pollution?,Oil spills,Plastic waste,Sewage discharge,Heavy metals,Plastic waste,Medium
14,LO1,Remembering,Which organization promotes sustainable development globally?,UNEP,UNESCO,WHO,IMF,UNEP,Medium
15,LO1,Remembering,What is the term for energy derived from organic material?,Biomass,Solar energy,Geothermal energy,Nuclear energy,Biomass,Medium
16,LO1,Remembering,Which gas is a major contributor to acid rain?,Sulfur dioxide,Carbon monoxide,Ozone,Methane,Sulfur dioxide,Medium
17,LO1,Remembering,What is the primary purpose of a carbon footprint?,Measure emissions,Track biodiversity,Monitor water usage,Assess soil quality,Measure emissions,Hard
18,LO1,Remembering,Which protocol phased out ozone-depleting substances?,Montreal Protocol,Kyoto Protocol,Paris Agreement,Copenhagen Accord,Montreal Protocol,Hard
19,LO1,Remembering,What is the term for the loss of fertile land due to environmental factors?,Desertification,Deforestation,Urbanization,Salinization,Desertification,Hard
20,LO1,Remembering,Which type of pollution is caused by excessive noise?,Noise pollution,Air pollution,Thermal pollution,Light pollution,Noise pollution,Hard
21,LO1,Remembering,What is the name of the global goals set by the UN for sustainable development?,Millennium Development Goals,Sustainable Development Goals,Global Sustainability Targets,Environmental Protection Goals,Sustainable Development Goals,Hard
22,LO1,Remembering,Which energy source is derived from Earth's internal heat?,Geothermal energy,Solar energy,Hydropower,Biomass,Geothermal energy,Hard
23,LO1,Remembering,What is the term for the practice of reducing energy consumption?,Energy conservation,Energy generation,Energy storage,Energy distribution,Energy conservation,Hard
24,LO1,Remembering,Which type of farming promotes soil health and biodiversity?,Organic farming,Industrial farming,Monoculture farming,Hydroponic farming,Organic farming,Hard
25,LO2,Understanding,Why is reducing carbon emissions critical for sustainability?,It reduces global warming,It increases energy production,It enhances soil fertility,It promotes urbanization,It reduces global warming,Easy
26,LO2,Understanding,What is the primary benefit of using renewable energy sources?,They are inexhaustible,They are cheaper,They produce more emissions,They require less maintenance,They are inexhaustible,Easy
27,LO2,Understanding,How does recycling contribute to sustainability?,Reduces waste in landfills,Increases resource extraction,Promotes deforestation,Enhances pollution,Reduces waste in landfills,Easy
